title,memory_capacity,memory_frequency,memory_type,manufacturer,gpu_name,gpu_frequency,min_price,max_price,img_url,reference_url
MSI GeForce RTX 3060 Ti GAMING Z TRIO 8G LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1845 МГц,31415,35399,https://s.ek.ua/jpg/2052995.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-TI-GAMING-Z-TRIO-8G-LHR.htm
MSI GeForce RTX 3060 GAMING X 12G,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1837 МГц,26650,33359,https://s.ek.ua/jpg/1941006.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-GAMING-X-12G.htm
MSI GeForce RTX 3060 Ti GAMING X 8G LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1770 МГц,30456,38610,https://s.ek.ua/jpg/2052999.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-3060-TI-GAMING-X-8G-LHR.htm
Gigabyte GeForce RTX 3060 GAMING OC LHR 12G,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1837 МГц,25704,30022,https://s.ek.ua/jpg/2055429.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3060-GAMING-OC-LHR-12G.htm
Gigabyte GeForce GTX 1660 OC 6G,6 ГБ,8000 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1660,1830 МГц,19812,22499,https://s.ek.ua/jpg/1538373.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-GTX-1660-OC-6G.htm
Palit GeForce RTX 3060 Dual,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1777 МГц,25380,29870,https://s.ek.ua/jpg/1942025.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3060-DUAL.htm
Gigabyte GeForce RTX 2060 D6 6G,6 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 2060,1680 МГц,21400,27473,https://s.ek.ua/jpg/1836526.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-2060-D6-6G.htm
Gigabyte GeForce RTX 3060 EAGLE OC LHR 12G,12 ГБ,15000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060,1807 МГц,25110,26499,https://s.ek.ua/jpg/2055434.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3060-EAGLE-OC-LHR-12G.htm
Asus GeForce RTX 3060 Ti TUF Gaming V2 OC LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3060 Ti,1785 МГц,30456,35582,https://s.ek.ua/jpg/2053588.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-RTX-3060-TI-TUF-GAMING-V2-OC-LHR.htm
Gigabyte GeForce RTX 3080 Ti GAMING OC 12G,12 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3080 Ti,1710 МГц,66999,76971,https://s.ek.ua/jpg/2033444.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3080-TI-GAMING-OC-12G.htm
Palit GeForce RTX 3070 GamingPro V1 LHR,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3070,1725 МГц,34179,40095,https://s.ek.ua/jpg/2053230.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3070-GAMINGPRO-V1-LHR.htm
Palit GeForce RTX 3070 Ti GamingPro,8 ГБ,19000 МГц,GDDR6X,NVIDIA,NVIDIA GeForce RTX 3070 Ti,1770 МГц,43759,51613,https://s.ek.ua/jpg/2034141.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-RTX-3070-TI-GAMINGPRO.htm
Sapphire Radeon RX 6600 PULSE,8 ГБ,14000 МГц,GDDR6,AMD,AMD Radeon RX 6600,2491 МГц,22499,28777,https://s.ek.ua/jpg/2113047.jpg,https://ek.ua/ua/ua/SAPPHIRE-RADEON-RX-6600-PULSE.htm
Gigabyte GeForce RTX 3070 GAMING OC LHR 8G,8 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 3070,1815 МГц,35499,35999,https://s.ek.ua/jpg/2055544.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-RTX-3070-GAMING-OC-LHR-8G.htm
MSI GeForce RTX 2060 VENTUS GP OC,6 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce RTX 2060,1710 МГц,22000,23899,https://s.ek.ua/jpg/1500206.jpg,https://ek.ua/ua/ua/MSI-GEFORCE-RTX-2060-VENTUS-GP-OC.htm
Palit GeForce GTX 1660 SUPER GP,6 ГБ,14000 МГц,GDDR6,NVIDIA,NVIDIA GeForce GTX 1660 SUPER,1785 МГц,24500,30250,https://s.ek.ua/jpg/1682007.jpg,https://ek.ua/ua/ua/PALIT-GEFORCE-GTX-1660-SUPER-GP.htm
AFOX Radeon RX 560 AFRX560-4096D5H4,4 ГБ,7000 МГц,GDDR5,AMD,AMD Radeon RX 560,1275 МГц,7897,9182,https://s.ek.ua/jpg/2056006.jpg,https://ek.ua/ua/ua/AFOX-RADEON-RX-560-AFRX560-4096D5H4.htm
Asus GeForce GTX 1050 Ti PH-GTX1050TI-4G,4 ГБ,7008 МГц,GDDR5,NVIDIA,NVIDIA GeForce GTX 1050 Ti,1290 МГц,9560,10785,https://s.ek.ua/jpg/955137.jpg,https://ek.ua/ua/ua/ASUS-GEFORCE-GTX-1050-TI-PH-GTX1050TI-4G.htm
Gigabyte GeForce GT 1030 OC 2G,2 ГБ,6008 МГц,GDDR5,NVIDIA,NVIDIA GeForce GT 1030,1290 МГц,7637,7637,https://s.ek.ua/jpg/1152525.jpg,https://ek.ua/ua/ua/GIGABYTE-GEFORCE-GT-1030-OC-2G.htm
